*ItemCode,ItemName,Quantity,PurchasesDescription,PurchasesUnitPrice,PurchasesAccount,PurchasesTaxRate,SalesDescription,SalesUnitPrice,SalesAccount,SalesTaxRate,InventoryAssetAccount,CostOfGoodsSoldAccount,Status,InventoryType
DUL134,Dulux Weathershield Masonry High Gloss - PBW 5ltr,,Dulux Weathershield Masonry High Gloss - Pur,118.01,311,No VAT,Dulux Weathershield Masonry High Gloss - Pur,141.61,202,No VAT,,,Active,Untracked
DUL135,Dulux WS Masonry High Gloss - Colours 5ltr,,Dulux Weathershield Masonry High Gloss - Col,128.64,311,No VAT,Dulux Weathershield Masonry High Gloss - Col,154.37,202,No VAT,,,Active,Untracked
DUL136,Dulux WS Gloss & UC - Brilliant White 5ltr,,Dulux Weathershield Gloss & Undercoat - Bril,109.00,311,No VAT,Dulux Weathershield Gloss & Undercoat - Bril,130.80,202,No VAT,,,Active,Untracked
DUL137,Dulux WS Gloss & UC - Brilliant White 2.5ltr,,Dulux Weathershield Gloss & Undercoat - Bril,65.06,311,No VAT,Dulux Weathershield Gloss & Undercoat - Bril,78.07,202,No VAT,,,Active,Untracked
DUL138,Dulux WS Gloss & UC - Brilliant White 1ltr,,Dulux Weathershield Gloss & Undercoat - Bril,30.49,311,No VAT,Dulux Weathershield Gloss & Undercoat - Bril,36.59,202,No VAT,,,Active,Untracked
DUL139,Dulux WS Gloss & Undercoat - Dark Grey 5ltr,,Dulux Weathershield Gloss & Undercoat - Dark,117.96,311,No VAT,Dulux Weathershield Gloss & Undercoat - Dark,141.55,202,No VAT,,,Active,Untracked
DUL140,Dulux WS Gloss & Undercoat - Dark Grey 2.5ltr,,Dulux Weathershield Gloss & Undercoat - Dark,70.94,311,No VAT,Dulux Weathershield Gloss & Undercoat - Dark,85.13,202,No VAT,,,Active,Untracked
DUL141,Dulux WS Gloss & Undercoat - Dark Grey 1ltr,,Dulux Weathershield Gloss & Undercoat - Dark,31.75,311,No VAT,Dulux Weathershield Gloss & Undercoat - Dark,38.10,202,No VAT,,,Active,Untracked
DUL142,Dulux WS Gloss & Undercoat - Colours 5ltr,,Dulux Weathershield Gloss & Undercoat - Colo,117.96,311,No VAT,Dulux Weathershield Gloss & Undercoat - Colo,141.55,202,No VAT,,,Active,Untracked
DUL143,Dulux WS Gloss & Undercoat - Colours 2.5ltr,,Dulux Weathershield Gloss & Undercoat - Colo,70.94,311,No VAT,Dulux Weathershield Gloss & Undercoat - Colo,85.13,202,No VAT,,,Active,Untracked
DUL144,Dulux WS Gloss & Undercoat - Colours 1ltr,,Dulux Weathershield Gloss & Undercoat - Colo,34.94,311,No VAT,Dulux Weathershield Gloss & Undercoat - Colo,41.93,202,No VAT,,,Active,Untracked
DUL145,Dulux WS QD Gloss UC - Brilliant White 5ltr,,Dulux Weathershield QD Gloss Undercoat - Bri,116.16,311,No VAT,Dulux Weathershield QD Gloss Undercoat - Bri,139.39,202,No VAT,,,Active,Untracked
DUL146,Dulux WS QD Gloss UC - Brilliant White 2.5ltr,,Dulux Weathershield QD Gloss Undercoat - Bri,69.42,311,No VAT,Dulux Weathershield QD Gloss Undercoat - Bri,83.30,202,No VAT,,,Active,Untracked
DUL147,Dulux WS QD Gloss UC - Brilliant White 1ltr,,Dulux Weathershield QD Gloss Undercoat - Bri,35.02,311,No VAT,Dulux Weathershield QD Gloss Undercoat - Bri,42.02,202,No VAT,,,Active,Untracked
DUL148,Dulux WS QD Gloss Undercoat - Colours 5ltr,,Dulux Weathershield QD Gloss Undercoat - Col,127.14,311,No VAT,Dulux Weathershield QD Gloss Undercoat - Col,152.57,202,No VAT,,,Active,Untracked
DUL149,Dulux WS QD Gloss Undercoat - Colours 2.5ltr,,Dulux Weathershield QD Gloss Undercoat - Col,75.86,311,No VAT,Dulux Weathershield QD Gloss Undercoat - Col,91.03,202,No VAT,,,Active,Untracked
DUL150,Dulux WS QD Gloss Undercoat - Colours 1ltr,,Dulux Weathershield QD Gloss Undercoat - Col,38.04,311,No VAT,Dulux Weathershield QD Gloss Undercoat - Col,45.65,202,No VAT,,,Active,Untracked
DUL229,Dulux Diamond Glaze - Colours 2.5ltr,,Dulux Diamond Glaze Varnish Gloss & Satin -,109.80,311,No VAT,Dulux Diamond Glaze Varnish Gloss & Satin -,131.76,202,No VAT,,,Active,Untracked
DUL230,Dulux Diamond Glaze - Colours 1ltr,,Dulux Diamond Glaze Varnish Gloss & Satin -,55.69,311,No VAT,Dulux Diamond Glaze Varnish Gloss & Satin -,66.83,202,No VAT,,,Active,Untracked
