*ItemCode,ItemName,Quantity,PurchasesDescription,PurchasesUnitPrice,PurchasesAccount,PurchasesTaxRate,SalesDescription,SalesUnitPrice,SalesAccount,SalesTaxRate,InventoryAssetAccount,CostOfGoodsSoldAccount,Status,InventoryType
BED001,"Bedec MSP (Gloss, Matt, Satin) - 2.5 ltr",,"Bedec MSP (Gloss, Matt, Satin) - 2.5 ltr",46.22,311,No VAT,"Bedec MSP (Gloss, Matt, Satin) - 2.5 ltr",50.85,202,No VAT,,,Active,Untracked
BED002,"Bedec MSP (Gloss, Matt, Satin) - 750ml",,"Bedec MSP (Gloss, Matt, Satin) - 750ml",19.86,311,No VAT,"Bedec MSP (Gloss, Matt, Satin) - 750ml",21.85,202,No VAT,,,Active,Untracked
BED005,Bedec Barn Paint (Colour) - 20 ltr,,Bedec Barn Paint (Colour) - 20 ltr,219.87,311,No VAT,Bedec Barn Paint (Colour) - 20 ltr,241.86,202,No VAT,,,Active,Untracked
BED006,Bedec Barn Paint (Colour) - 5 ltr,,Bedec Barn Paint (Colour) - 5 ltr,56.86,311,No VAT,Bedec Barn Paint (Colour) - 5 ltr,62.54,202,No VAT,,,Active,Untracked
BED007,Bedec Barn Paint (Colour) - 2.5 ltr,,Bedec Barn Paint (Colour) - 2.5 ltr,39.10,311,No VAT,Bedec Barn Paint (Colour) - 2.5 ltr,43.01,202,No VAT,,,Active,Untracked
BED008,Bedec EF Masonry (Colour) - 5 ltr,,Bedec EF Masonry (Colour) - 5 ltr,50.74,311,No VAT,Bedec EF Masonry (Colour) - 5 ltr,55.82,202,No VAT,,,Active,Untracked
BED009,Bedec Aqua Advanced Primer UC (White) - 1 ltr,,Bedec Aqua Advanced Primer UC (White) - 1 ltr,0.00,311,No VAT,Bedec Aqua Advanced Primer UC (White) - 1 ltr,27.89,202,No VAT,,,Active,Untracked
BED010,Bedec Aqua Advanced Gloss (White) - 1 ltr,,Bedec Aqua Advanced Gloss (White) - 1 ltr,0.00,311,No VAT,Bedec Aqua Advanced Gloss (White) - 1 ltr,27.89,202,No VAT,,,Active,Untracked
BED011,"Bedec MSP (Gloss, Matt, Satin) - 5 ltr",,"Bedec MSP (Gloss, Matt, Satin) - 5 ltr",67.49,311,No VAT,"Bedec MSP (Gloss, Matt, Satin) - 5 ltr",80.99,202,No VAT,,,Active,Untracked
BM001,BM Aura Matte - Colours 3.79ltr,,Benjamin Moore Aura Matte - Colours Gallon,87.55,311,No VAT,Benjamin Moore Aura Matte - Colours Gallon,100.68,202,No VAT,,,Active,Untracked
BM002,BM Aura Matte - Colours 0.95ltr,,Benjamin Moore Aura Matte - Colours Quart,30.16,311,No VAT,Benjamin Moore Aura Matte - Colours Quart,34.68,202,No VAT,,,Active,Untracked
BM003,BM Aura Eggshell - Colours 3.79ltr,,Benjamin Moore Aura Eggshell - Colours Gallon,94.36,311,No VAT,Benjamin Moore Aura Eggshell - Colours Gallon,108.51,202,No VAT,,,Active,Untracked
BM004,BM Aura Eggshell - Colours 0.95ltr,,Benjamin Moore Aura Eggshell - Colours Quart,32.29,311,No VAT,Benjamin Moore Aura Eggshell - Colours Quart,37.13,202,No VAT,,,Active,Untracked
BM005,BM Aura Satin - Colours 3.79ltr,,Benjamin Moore Aura Satin - Colours Gallon,94.36,311,No VAT,Benjamin Moore Aura Satin - Colours Gallon,108.51,202,No VAT,,,Active,Untracked
BM006,BM Aura Satin - Colours 0.95ltr,,Benjamin Moore Aura Satin - Colours Quart,32.29,311,No VAT,Benjamin Moore Aura Satin - Colours Quart,37.13,202,No VAT,,,Active,Untracked
BM007,BM Aura Semi-Gloss - Colours 3.79ltr,,Benjamin Moore Aura Semi-Gloss - Colours Gallon,96.05,311,No VAT,Benjamin Moore Aura Semi-Gloss - Colours Gallon,110.46,202,No VAT,,,Active,Untracked
BM008,BM Aura Semi-Gloss - Colours 0.95ltr,,Benjamin Moore Aura Semi-Gloss - Colours Quart,32.29,311,No VAT,Benjamin Moore Aura Semi-Gloss - Colours Quart,37.13,202,No VAT,,,Active,Untracked
BM009,BM Aura Bath & Spa Matte - Colours 3.79ltr,,Benjamin Moore Aura Bath & Spa Matte - Colours Gal,94.36,311,No VAT,Benjamin Moore Aura Bath & Spa Matte - Colours Gal,108.51,202,No VAT,,,Active,Untracked
BM010,BM Aura Bath & Spa Matte - Colours 0.95ltr,,Benjamin Moore Aura Bath & Spa Matte - Colours Qua,32.29,311,No VAT,Benjamin Moore Aura Bath & Spa Matte - Colours Qua,37.13,202,No VAT,,,Active,Untracked
BM011,BM Aura Ext Satin - Colours 3.79ltr,,Benjamin Moore Aura Exterior Satin - Colours Gallo,96.05,311,No VAT,Benjamin Moore Aura Exterior Satin - Colours Gallo,110.46,202,No VAT,,,Active,Untracked
BM012,BM Aura Ext Satin - Colours 0.95ltr,,Benjamin Moore Aura Exterior Satin - Colours Quart,33.14,311,No VAT,Benjamin Moore Aura Exterior Satin - Colours Quart,38.11,202,No VAT,,,Active,Untracked
